,date,ndvi,month
1,4/1/1984,0.166699188,1984 Apr
2,5/1/1984,0.145935351,1984 May
3,6/1/1984,0.134992345,1984 Jun
4,7/1/1984,0.149520854,1984 Jul
5,8/1/1984,0.151812015,1984 Aug
6,9/1/1984,0.154103175,1984 Sep
7,10/1/1984,0.156394336,1984 Oct
8,11/1/1984,0.158685496,1984 Nov
9,12/1/1984,0.15573198,1984 Dec
10,1/1/1985,0.162152881,1985 Jan
11,2/1/1985,0.168573782,1985 Feb
12,3/1/1985,0.174994683,1985 Mar
13,4/1/1985,0.181415585,1985 Apr
14,5/1/1985,0.172372648,1985 May
15,6/1/1985,0.163329712,1985 Jun
16,7/1/1985,0.154286776,1985 Jul
17,8/1/1985,0.192646371,1985 Aug
18,9/1/1985,0.207191241,1985 Sep
19,10/1/1985,0.199190918,1985 Oct
20,11/1/1985,0.190705987,1985 Nov
21,12/1/1985,0.164730167,1985 Dec
22,1/1/1986,0.160991872,1986 Jan
23,2/1/1986,0.123501373,1986 Feb
24,3/1/1986,0.137583112,1986 Mar
25,4/1/1986,0.118301413,1986 Apr
26,5/1/1986,0.13946712,1986 May
27,6/1/1986,0.137998589,1986 Jun
28,7/1/1986,0.159182817,1986 Jul
29,8/1/1986,0.195499318,1986 Aug
30,9/1/1986,0.196964827,1986 Sep
31,10/1/1986,0.185748281,1986 Oct
32,11/1/1986,0.147936013,1986 Nov
33,12/1/1986,0.15096588,1986 Dec
34,1/1/1987,0.138001636,1987 Jan
35,2/1/1987,0.145368338,1987 Feb
36,3/1/1987,0.123183389,1987 Mar
37,4/1/1987,0.186233796,1987 Apr
38,5/1/1987,0.175981906,1987 May
39,6/1/1987,0.151461579,1987 Jun
40,7/1/1987,0.157756162,1987 Jul
41,8/1/1987,0.209626,1987 Aug
42,9/1/1987,0.210446419,1987 Sep
43,10/1/1987,0.191238095,1987 Oct
44,11/1/1987,0.172589599,1987 Nov
45,12/1/1987,0.153941103,1987 Dec
46,1/1/1988,0.135292606,1988 Jan
47,2/1/1988,0.11664411,1988 Feb
48,3/1/1988,0.134643928,1988 Mar
49,4/1/1988,0.156549359,1988 Apr
50,5/1/1988,0.13359581,1988 May
51,6/1/1988,0.137311534,1988 Jun
52,7/1/1988,0.168899272,1988 Jul
53,8/1/1988,0.276762938,1988 Aug
54,9/1/1988,0.249923428,1988 Sep
55,10/1/1988,0.180197489,1988 Oct
56,11/1/1988,0.173647971,1988 Nov
57,12/1/1988,0.167098453,1988 Dec
58,1/1/1989,0.160548935,1989 Jan
59,2/1/1989,0.153999417,1989 Feb
60,3/1/1989,0.147449899,1989 Mar
61,4/1/1989,0.140900381,1989 Apr
62,5/1/1989,0.132127298,1989 May
63,6/1/1989,0.127798804,1989 Jun
64,7/1/1989,0.135067924,1989 Jul
65,8/1/1989,0.304356042,1989 Aug
66,9/1/1989,0.25140124,1989 Sep
67,10/1/1989,0.217629929,1989 Oct
68,11/1/1989,0.192319588,1989 Nov
69,12/1/1989,0.167009247,1989 Dec
70,1/1/1990,0.141698906,1990 Jan
71,2/1/1990,0.116388565,1990 Feb
72,3/1/1990,0.091078224,1990 Mar
73,4/1/1990,0.106591318,1990 Apr
74,5/1/1990,0.111238586,1990 May
75,6/1/1990,0.123609791,1990 Jun
76,7/1/1990,0.13716986,1990 Jul
77,8/1/1990,0.313765769,1990 Aug
78,9/1/1990,0.221499072,1990 Sep
79,10/1/1990,0.182423482,1990 Oct
80,11/1/1990,0.172011358,1990 Nov
81,12/1/1990,0.161599233,1990 Dec
82,1/1/1991,0.151187109,1991 Jan
83,2/1/1991,0.140774984,1991 Feb
84,3/1/1991,0.13036286,1991 Mar
85,4/1/1991,0.156183111,1991 Apr
86,5/1/1991,0.151493986,1991 May
87,6/1/1991,0.137219399,1991 Jun
88,7/1/1991,0.154034309,1991 Jul
89,8/1/1991,0.202001062,1991 Aug
90,9/1/1991,0.145102634,1991 Sep
91,10/1/1991,0.164739501,1991 Oct
92,11/1/1991,0.164644272,1991 Nov
93,12/1/1991,0.164549042,1991 Dec
94,1/1/1992,0.164453812,1992 Jan
95,2/1/1992,0.164358583,1992 Feb
96,3/1/1992,0.164263353,1992 Mar
97,4/1/1992,0.230163272,1992 Apr
98,5/1/1992,0.200472811,1992 May
99,6/1/1992,0.199622301,1992 Jun
100,7/1/1992,0.196479979,1992 Jul
101,8/1/1992,0.13452379,1992 Aug
102,9/1/1992,0.152263689,1992 Sep
103,10/1/1992,0.17244224,1992 Oct
104,11/1/1992,0.149468573,1992 Nov
105,12/1/1992,0.105866054,1992 Dec
106,1/1/1993,0.137561726,1993 Jan
107,2/1/1993,0.158124325,1993 Feb
108,3/1/1993,0.166397517,1993 Mar
