year,month_col,meantemp,precipitation,anomaly_ppt,anomaly_meant,month
1980,1,5.512903226,15.24,0.666666667,-1.387096774,1980 Jan
1980,2,7.189655172,30.226,1.54371808,-1.610344828,1980 Feb
1980,3,10.26774194,5.08,0.313580247,-1.432258065,1980 Mar
1980,4,15.91666667,0.508,0.057990868,0.516666667,1980 Apr
1980,5,21.78709677,0.508,0.069493844,1.687096774,1980 May
1980,6,29.87333333,10.922,0.969121562,5.173333333,1980 Jun
1980,7,25.52580645,60.706,0.808120341,-0.674193548,1980 Jul
1980,8,23.58709677,54.102,0.832466533,-1.312903226,1980 Aug
1980,9,19.5,58.674,1.821608196,-3.1,1980 Sep
1980,10,11.86774194,1.778,0.056088328,-5.232258065,1980 Oct
1980,11,5.4,14.478,0.699082569,-5.5,1980 Nov
1980,12,3.609677419,2.286,0.070425139,-3.090322581,1980 Dec
1981,1,4.335483871,30.226,1.322222222,-2.564516129,1981 Jan
1981,2,8.528571429,10.668,0.544841675,-0.271428571,1981 Feb
1981,3,9.835483871,34.036,2.100987654,-1.864516129,1981 Mar
1981,4,18.54333333,10.414,1.188812785,3.143333333,1981 Apr
1981,5,22.47666667,3.048,0.416963064,2.376666667,1981 May
1981,6,28.63333333,77.724,6.896539485,3.933333333,1981 Jun
1981,7,23.97741935,81.28,1.08200213,-2.222580645,1981 Jul
1981,8,23.89354839,15.494,0.238405909,-1.006451613,1981 Aug
1981,9,19.29333333,56.134,1.742750699,-3.306666667,1981 Sep
1981,10,13.51290323,25.146,0.793249211,-3.587096774,1981 Oct
1981,11,7.443333333,1.016,0.049058426,-3.456666667,1981 Nov
1981,12,4.780645161,33.528,1.032902033,-1.919354839,1981 Dec
1982,1,4.54516129,25.654,1.122222222,-2.35483871,1982 Jan
1982,2,7.4,10.668,0.544841675,-1.4,1982 Feb
1982,3,12.4,21.59,1.332716049,0.7,1982 Mar
1982,4,18.62,4.572,0.521917808,3.22,1982 Apr
1982,5,22.27419355,10.668,1.459370725,2.174193548,1982 May
1982,6,28.18333333,4.318,0.383141083,3.483333333,1982 Jun
1982,7,25.81290323,33.02,0.439563365,-0.387096774,1982 Jul
1982,8,23.75806452,72.644,1.117771965,-1.141935484,1982 Aug
1982,9,21.26333333,66.802,2.073952189,-1.336666667,1982 Sep
