censusdate,total,energy,month
10/16/1977,25,3342,1977 Oct
11/12/1977,19,2724,1977 Nov
12/10/1977,24,3624,1977 Dec
1/8/1978,19,2882,1978 Jan
2/18/1978,16,2232,1978 Feb
3/11/1978,20,2731,1978 Mar
4/8/1978,18,2876,1978 Apr
5/17/1978,24,2837,1978 May
6/8/1978,21,2825,1978 Jun
7/7/1978,24,3187,1978 Jul
8/4/1978,23,3026,1978 Aug
9/3/1978,29,3408,1978 Sep
10/6/1978,22,2871,1978 Oct
11/4/1978,21,2517,1978 Nov
12/2/1978,15,1822,1978 Dec
1/28/1979,13,1518,1979 Jan
2/24/1979,11,1411,1979 Feb
3/31/1979,14,1922,1979 Mar
4/28/1979,13,1725,1979 Apr
5/29/1979,16,2240,1979 May
7/3/1979,12,1578,1979 Jun
7/24/1979,17,2211,1979 Jul
8/21/1979,17,2275,1979 Aug
9/22/1979,11,1373,1979 Sep
10/24/1979,18,2440,1979 Oct
11/17/1979,22,2563,1979 Nov
12/19/1979,26,3034,1979 Dec
1/15/1980,33,3505,1980 Jan
2/24/1980,15,1627,1980 Feb
3/21/1980,18,2357,1980 Mar
4/17/1980,17,2215,1980 Apr
5/17/1980,20,3026,1980 May
6/22/1980,27,3436,1980 Jun
7/21/1980,24,3177,1980 Jul
8/13/1980,19,2755,1980 Aug
9/7/1980,20,2820,1980 Sep
10/11/1980,14,2023,1980 Oct
11/8/1980,18,2109,1980 Nov
12/15/1980,25,2813,1980 Dec
1/11/1981,15,1730,1981 Jan
1/31/1981,15,1918,1981 Feb
3/8/1981,22,2484,1981 Mar
4/4/1981,21,2562,1981 Apr
5/3/1981,21,2640,1981 May
6/4/1981,33,3981,1981 Jun
7/7/1981,20,2340,1981 Jul
8/30/1981,15,1989,1981 Aug
9/29/1981,15,1999,1981 Sep
10/24/1981,19,2398,1981 Oct
11/22/1981,29,3449,1981 Nov
12/30/1981,23,2800,1981 Dec
1/24/1982,29,3159,1982 Jan
2/22/1982,46,4546,1982 Feb
3/29/1982,29,3118,1982 Mar
4/28/1982,24,2665,1982 Apr
5/21/1982,21,2340,1982 May
6/28/1982,31,3619,1982 Jun
7/25/1982,33,3851,1982 Jul
8/15/1982,39,3906,1982 Aug
9/18/1982,32,3670,1982 Sep
10/16/1982,37,4057,1982 Oct
11/21/1982,43,4444,1982 Nov
12/15/1982,41,4352,1982 Dec
1/12/1983,39,4260,1983 Jan
2/26/1983,26,2425,1983 Feb
3/14/1983,31,2990,1983 Mar
4/16/1983,30,3516,1983 Apr
5/14/1983,22,2372,1983 May
6/17/1983,25,3142,1983 Jun
7/16/1983,18,2175,1983 Jul
8/15/1983,24,2821,1983 Aug
9/10/1983,31,4317,1983 Sep
10/15/1983,30,3118,1983 Oct
11/12/1983,20,2776,1983 Nov
12/8/1983,26,3466,1983 Dec
1/2/1984,24,2724,1984 Jan
2/4/1984,20,1982,1984 Feb
3/12/1984,15,1993,1984 Mar
4/9/1984,10,1445,1984 Apr
5/27/1984,16,1685,1984 May
7/3/1984,22,2228,1984 Jun
7/31/1984,17,2143,1984 Jul
8/25/1984,12,1269,1984 Aug
9/29/1984,18,1829,1984 Sep
10/20/1984,21,2105,1984 Oct
11/22/1984,17,1684,1984 Nov
12/30/1984,15,1264,1984 Dec
1/19/1985,18,1383,1985 Jan
2/16/1985,15,1240,1985 Feb
3/16/1985,14,1112,1985 Mar
4/19/1985,13,1136,1985 Apr
5/23/1985,13,1158,1985 May
6/15/1985,16,1715,1985 Jun
7/23/1985,22,2460,1985 Jul
8/19/1985,23,2577,1985 Aug
9/21/1985,26,2711,1985 Sep
10/12/1985,30,3403,1985 Oct
11/16/1985,37,3936,1985 Nov
12/7/1985,31,3156,1985 Dec
1/10/1986,28,3136,1986 Jan
2/8/1986,29,3117,1986 Feb
3/8/1986,26,3097,1986 Mar
4/12/1986,24,3182,1986 Apr
5/10/1986,22,2445,1986 May
6/4/1986,17,2086,1986 Jun
7/3/1986,24,2606,1986 Jul
8/9/1986,20,2492,1986 Aug
9/6/1986,19,2134,1986 Sep
10/4/1986,19,2232,1986 Oct
11/15/1986,24,2346,1986 Nov
12/14/1986,22,2367,1986 Dec
12/30/1986,24,2854,1987 Jan
1/31/1987,29,3340,1987 Feb
3/1/1987,20,2270,1987 Mar
4/4/1987,25,2782,1987 Apr
5/28/1987,23,2611,1987 May
6/30/1987,27,2854,1987 Jun
7/25/1987,28,2872,1987 Jul
8/25/1987,25,2678,1987 Aug
9/26/1987,21,2372,1987 Sep
10/24/1987,23,2320,1987 Oct
11/21/1987,38,3135,1987 Nov
12/20/1987,30,2698,1987 Dec
1/23/1988,24,2262,1988 Jan
2/21/1988,25,2392,1988 Feb
3/20/1988,29,2835,1988 Mar
4/17/1988,23,2306,1988 Apr
5/14/1988,21,2631,1988 May
6/11/1988,24,2776,1988 Jun
7/14/1988,23,2576,1988 Jul
8/9/1988,22,2323,1988 Aug
9/11/1988,17,1768,1988 Sep
10/8/1988,18,1892,1988 Oct
11/5/1988,28,2691,1988 Nov
12/13/1988,31,2546,1988 Dec
1/10/1989,28,2755,1989 Jan
2/4/1989,35,2670,1989 Feb
3/12/1989,25,2383,1989 Mar
4/1/1989,23,2249,1989 Apr
5/9/1989,21,1937,1989 May
6/3/1989,22,1760,1989 Jun
7/3/1989,20,1856,1989 Jul
7/29/1989,23,2258,1989 Aug
9/3/1989,14,1426,1989 Sep
10/7/1989,23,2280,1989 Oct
11/4/1989,29,2700,1989 Nov
12/4/1989,36,3116,1989 Dec
1/6/1990,26,2819,1990 Jan
2/24/1990,32,3237,1990 Feb
3/29/1990,34,3332,1990 Mar
4/24/1990,32,3455,1990 Apr
5/23/1990,24,2447,1990 May
6/21/1990,26,2419,1990 Jun
7/21/1990,25,2324,1990 Jul
8/16/1990,24,2281,1990 Aug
9/22/1990,18,1960,1990 Sep
10/15/1990,27,2754,1990 Oct
11/10/1990,24,2462,1990 Nov
12/15/1990,38,3564,1990 Dec
1/11/1991,32,2777,1991 Jan
2/16/1991,28,2747,1991 Feb
3/13/1991,28,2723,1991 Mar
4/19/1991,21,2426,1991 Apr
5/13/1991,20,2001,1991 May
6/13/1991,18,1653,1991 Jun
7/12/1991,21,1835,1991 Jul
8/7/1991,21,1721,1991 Aug
9/9/1991,18,1628,1991 Sep
10/10/1991,24,1828,1991 Oct
11/13/1991,30,2270,1991 Nov
12/7/1991,27,2247,1991 Dec
1/8/1992,20,1660,1992 Jan
2/6/1992,22,1832,1992 Feb
3/7/1992,24,2018,1992 Mar
4/4/1992,26,2453,1992 Apr
5/2/1992,18,1757,1992 May
7/3/1992,22,1876,1992 Jun
7/30/1992,16,1365,1992 Jul
8/29/1992,23,1843,1992 Aug
9/26/1992,29,2322,1992 Sep
10/18/1992,25,2075,1992 Oct
11/24/1992,19,1768,1992 Nov
12/21/1992,14,1460,1992 Dec
1/23/1993,13,1405,1993 Jan
2/19/1993,13,1311,1993 Feb
3/17/1993,28,2717,1993 Mar
4/23/1993,15,1166,1993 Apr
5/22/1993,15,1284,1993 May
